Titre,Note,URL,Commentaire
Repère placé,"CIA
Man 48yo
Big bosse CIA cat Man doux","https://www.google.com/maps/search/27.7046576,85.310581",
Repère placé,Military supply,"https://www.google.com/maps/search/26.125538,119.5447546",
Repère placé,ASIS man 41yo 1m72,"https://www.google.com/maps/search/-41.29029,174.7778178",
Repère placé,ASIS man 33yo 1m78,"https://www.google.com/maps/search/-41.2915735,174.7735991",
Repère placé,"Sous-marin nucléaire américain
-54m
24km/h
106°
COVID à bord","https://www.google.com/maps/search/27.7791431,151.1512079",
Repère placé,Military supply,"https://www.google.com/maps/search/27.3945995,119.5759336",
Repère placé,"Épave
Petite embarcation
-2800
Gold","https://www.google.com/maps/search/26.8811732,31.4930274",
Repère placé,"CIA
Man 46yo","https://www.google.com/maps/search/26.2095776,50.56822",
Repère placé,"CIA
Woman 54yo
Boss","https://www.google.com/maps/search/39.9487189,32.8535159",
Repère placé,"CIA
Man 53yo
Boss","https://www.google.com/maps/search/39.9487122,32.8535156",
Repère placé,"CIA
Woman 46yo + man 48yo
Boss","https://www.google.com/maps/search/39.9438745,116.4130224",
Repère placé,"DGSE
Woman 57yo + man 58yo
Boss","https://www.google.com/maps/search/39.9442886,116.4182571",
Repère placé,"CIA
Man 48yo
Salon lock 284601
Boss","https://www.google.com/maps/search/39.0319436,125.7386474",
Repère placé,"Underground War robots factory
National stock: 60k
Production: 3000/m","https://www.google.com/maps/search/40.4739447,-112.3525848",
Repère placé,"CIA
Man 54yo
Boss","https://www.google.com/maps/search/39.918188,116.3980688",
Repère placé,"CIA
Man 46yo
Bureau tiroir SD card
Boss","https://www.google.com/maps/search/39.9297107,116.3144147",
Repère placé,"CIA
Woman 42yo + man 43yo
Boss","https://www.google.com/maps/search/39.9256037,116.4239303",
Repère placé,"MI6 tourist
Man 57yo
Boss","https://www.google.com/maps/search/30.0976733,31.2492589",
Repère placé,"CIA
Man 47yo
Boss","https://www.google.com/maps/search/39.9063407,116.4330954",
和平里,"CIA
Man 54yo
Boss",https://www.google.com/maps/place/%E5%92%8C%E5%B9%B3%E9%87%8C/data=!4m2!3m1!1s0x35f05313dc32b80f:0x28f00c7cde361be7,
Repère placé,"CIA
Woman 49yo + man 51yo
Bureau lock 875234
Boss","https://www.google.com/maps/search/39.9302396,116.3752864",
Repère placé,"CIA
Woman 63yo + man 64yo
Boss","https://www.google.com/maps/search/39.0399561,125.7503147",
Repère placé,"CIA
Man 63yo
Boss","https://www.google.com/maps/search/39.9453656,116.416178",
Repère placé,"CIA
Man 59yo
Boss","https://www.google.com/maps/search/39.962301,116.4008432",
Repère placé,"CIA
Woman 49yo + man 50yo
Bureau tiroir SD card
Boss","https://www.google.com/maps/search/39.9304584,116.3684428",
Repère placé,"CIA
Woman 43yo + man 44yo
Boss","https://www.google.com/maps/search/39.9413602,116.3858195",
Repère placé,"CIA
Woman 48yo + man 50yo
Boss","https://www.google.com/maps/search/35.7394125,51.4129183",
Repère placé,"CIA
Woman 43yo + man 45yo
Boss","https://www.google.com/maps/search/39.008747,125.7280591",
Repère placé,"CIA
Man 48yo
Boss","https://www.google.com/maps/search/39.9314176,116.3239087",
Repère placé,"CIA
Men 42yo + 39yo
Weapons","https://www.google.com/maps/search/43.6756932,1.4502516",
Societe Letot J.l,"CIA
Man 42yo + man 42yo + man 40yo",https://www.google.com/maps/place/Societe+Letot+J.l/data=!4m2!3m1!1s0x12aebb6d5298d215:0x3bd668015c9c842,
Repère placé,"CIA
Man 48yo
Boss","https://www.google.com/maps/search/40.1869048,44.5201223",
Repère placé,"Military research center project
Naval","https://www.google.com/maps/search/39.0842881,117.7968455",
Repère placé,"Military research center project
Submarine","https://www.google.com/maps/search/39.0835287,117.7991642",
Repère placé,DLI,"https://www.google.com/maps/search/39.004764,125.7209888",
Repère placé,"Research center
Synthetic oil","https://www.google.com/maps/search/38.9334,117.8784835",
Repère placé,"DGSE
Woman 47yo + man 49yo
Boss","https://www.google.com/maps/search/52.350924,4.9079221",
Repère placé,"CIA
Man 51yo
Boss","https://www.google.com/maps/search/51.4955571,-0.1497678",
Repère placé,"FSB
Man 46yo","https://www.google.com/maps/search/50.4494961,30.505314",
Repère placé,"FSB
Man 44yo","https://www.google.com/maps/search/50.4419356,30.5170218",
Repère placé,CO,"https://www.google.com/maps/search/49.4029354,38.1590226",
68 Bd Ney,Restos du coeur,https://www.google.com/maps/place/68+Bd+Ney/data=!4m2!3m1!1s0x47e66e89ab45b7cf:0x6b9b064c43896d4a,
Repère placé,"DGSE
Man 46yo
Boss","https://www.google.com/maps/search/41.314934,69.2913461",
Repère placé,"CO
Here
Here","https://www.google.com/maps/search/48.6711094,38.1104551",
Repère placé,CO,"https://www.google.com/maps/search/48.0397623,37.7279282",
Repère placé,"CIA
Woman 52yo + man 53yo","https://www.google.com/maps/search/48.8841505,2.2910843",
Repère placé,"CIA
Man 50yo","https://www.google.com/maps/search/48.879826,2.3357481",
Repère placé,Plan B co,"https://www.google.com/maps/search/52.4529183,30.9956506",
Repère placé,General 1,"https://www.google.com/maps/search/52.4503326,30.9615115",
Repère placé,"Moving here
Painful all those cables...","https://www.google.com/maps/search/52.4470175,30.9767085",
Repère placé,"Gêné râle beau coup
You're visiting the area's building?","https://www.google.com/maps/search/52.4463517,30.976439",
Repère placé,"General
Priority target","https://www.google.com/maps/search/52.4457403,30.9756527",
Repère placé,QG here,"https://www.google.com/maps/search/52.4403865,30.9955973",
Repère placé,CIA,"https://www.google.com/maps/search/52.4048714,30.9202269",
Repère placé,DGSI,"https://www.google.com/maps/search/43.6322972,1.4576954",
Repère placé,DGSI,"https://www.google.com/maps/search/43.6314073,1.4622388",
Repère placé,"CIA
Man 49yo + Man 45yo","https://www.google.com/maps/search/43.6303201,1.4550629",
Repère placé,DGSI,"https://www.google.com/maps/search/43.6302743,1.4558618",
Repère placé,"DLI
Woman 46yo + woman 26yo +
Man 48yo + Man 27yo","https://www.google.com/maps/search/43.6300098,1.473262",
Repère placé,DGSI,"https://www.google.com/maps/search/43.6296756,1.4547839",
Repère placé,DGSI,"https://www.google.com/maps/search/43.6285908,1.4562045",
Repère placé,"FSB
Woman 47yo + Man 48yo + Man 48yo","https://www.google.com/maps/search/43.6283302,1.4748294",
Repère placé,"CIA
Man 33yo + woman 33yo
Couloir plinthe SD card
Big boss CIA Erevan","https://www.google.com/maps/search/40.1708363,44.5215174",
Repère placé,Morgan monitoring HQ,"https://www.google.com/maps/search/39.9066159,116.4254528",
大红门,"New Morgan CO
Faraday useless",https://www.google.com/maps/place/%E5%A4%A7%E7%BA%A2%E9%97%A8/data=!4m2!3m1!1s0x35f04c5b99daff11:0x4ce1ac67f2ce24dc,
Repère placé,Space research lab,"https://www.google.com/maps/search/39.4082613,117.058488",
Repère placé,Jésus!,"https://www.google.com/maps/search/39.3868715,117.0811332",
Repère placé,J-20 elevator project,"https://www.google.com/maps/search/39.386503,117.088922",
Repère placé,"CIA
Man 54yo
Boss","https://www.google.com/maps/search/37.5555748,126.9592017",
Repère placé,"CIA
Man 57yo
Boss","https://www.google.com/maps/search/39.0362735,125.7816282",
Repère placé,"DGSE
Man 58yo
Boss","https://www.google.com/maps/search/36.7276694,3.1222891",
Repère placé,"CIA
Man 59yo
Boss","https://www.google.com/maps/search/51.1964875,71.4402995",
Repère placé,"DGSE
Woman 57yo + man 57yo
Boss","https://www.google.com/maps/search/36.7253425,3.1455462",
Repère placé,"CIA
Woman 48yo + man 48yo
Boss","https://www.google.com/maps/search/36.7336455,3.0981264",
Repère placé,"CIA
Man 55yo","https://www.google.com/maps/search/36.7153748,67.115963",
Repère placé,"CIA
Man 62yo
Boss","https://www.google.com/maps/search/35.7246207,51.3611524",
Repère placé,"CIA
Man 59yo
Boss","https://www.google.com/maps/search/39.9415135,116.38914",
Repère placé,"CIA
Man 58yo
Bureau tapisserie SD card
Lock 386246","https://www.google.com/maps/search/48.8491432,2.2952373",
Repère placé,"DLI
Man 53yo
Boss","https://www.google.com/maps/search/37.5698514,126.9932222",
Repère placé,"Dinosaure
75m années
-15m","https://www.google.com/maps/search/62.4062099,108.3888616",
Repère placé,"CIA
Man 47yo","https://www.google.com/maps/search/48.8786155,2.3693769",
Église de Saint Germain des Prés,"Descartes tomb
Check DNA",https://www.google.com/maps/place/%C3%89glise+de+Saint+Germain+des+Pr%C3%A9s/data=!4m2!3m1!1s0x47e671d84abf861d:0xba5dcb79a774aad5,
Repère placé,"CIA
Man 59yo
🖕","https://www.google.com/maps/search/48.8457838,2.3533333",
Repère placé,"CIA
Man 51yo","https://www.google.com/maps/search/48.8389417,2.3602135",
Repère placé,"CIA
Man 41yo
Colère","https://www.google.com/maps/search/48.837491,2.3033728",
Repère placé,CO,"https://www.google.com/maps/search/48.6779994,38.100936",
Repère placé,"CO
Here
Here","https://www.google.com/maps/search/48.6427634,37.9970446",
Repère placé,"CIA
Man 48yo
Bureau lock 539889
Boss","https://www.google.com/maps/search/37.5118008,126.9399314",
Repère placé,"DGSE
Man 57yo
Boss","https://www.google.com/maps/search/39.923431,116.3647112",
Repère placé,"DGSE
Man 47yo
Boss","https://www.google.com/maps/search/36.7289332,3.1223096",
Repère placé,"Tomb
Witch
950 ap JC 
20m around
-7m","https://www.google.com/maps/search/40.8791378,-81.61905",
